CASENUM,VEH_NO,MDRDSTRD
201310438321,2,17
201310438324,1,0
201310438324,2,0
201310438329,1,0
201310438335,1,0
201310438345,1,0
201310438346,1,0
201310438346,2,0
201310438348,1,0
201310438350,1,0
201310438350,2,0
201310438359,1,93
201310438367,1,0
201310438367,2,0
201310438375,1,0
201310438376,1,0
201310438377,1,1
201310438377,2,0
201310438378,1,0
201310438381,1,0
201310438382,1,0
201310438385,1,0
201310438385,2,0
201310438391,1,0
201310438391,2,0
201310438424,1,0
201310438424,2,0
201310438433,1,3
201310438433,2,0
201310438435,1,0
201310438439,1,0
201310438442,1,0
201310438442,2,0
201310438474,1,0
201310438474,2,0
201310438476,1,0
201310438476,2,0
201310438485,1,0
201310438485,2,0
201310438491,1,0
201310438491,2,0
201310438493,1,0
201310438493,2,0
201310438493,3,0
201310438500,1,0
201310438500,2,0
201310438503,1,0
201310438505,1,0
201310438511,1,0
201310438511,2,0
201310438513,1,0
201310438514,1,0
201310438514,2,0
201310438517,1,0
201310438528,1,0
201310438528,2,0
201310438528,3,0
201310438535,1,0
201310438542,1,17
201310438549,1,0
201310438549,2,0
201310438557,1,1
201310438558,1,6
201310438559,1,0
201310438559,2,0
201310438572,1,0
201310438572,2,0
201310438574,1,0
201310438576,1,0
201310438577,1,0
201310438577,2,0
201310438579,1,0
201310438584,1,10
201310438585,1,0
201310438593,1,0
201310438596,1,0
201310438596,2,0
201310438597,1,0
201310438597,2,0
201310438606,1,10
201310438606,2,0
201310438608,1,0
201310438609,1,0
201310438611,1,0
201310438618,1,0
201310438621,1,0
201310438621,2,0
201310438621,3,7
201310438622,1,0
201310438622,2,0
201310438624,1,0
201310438654,1,17
201310438656,1,0
201310438657,1,0
201310438658,1,0
201310438661,1,0
201310438673,1,0
201310438674,1,0
201310438674,2,0
201310438674,3,0
201310438675,1,0
201310438684,1,0
201310438685,1,0
201310438685,2,0
201310438685,3,0
201310438686,1,0
201310438690,1,0
201310438690,2,0
201310438695,1,0
201310438695,2,0
201310438696,1,0
201310438696,2,0
201310438696,3,0
201310438705,1,0
201310438705,2,0
201310438706,1,0
201310438706,2,0
201310438722,1,17
201310438722,2,0
201310438729,1,17
201310438729,2,17
201310438732,1,17
201310438732,2,0
201310438736,1,10
201310438736,2,0
201310438742,1,0
201310438764,1,0
201310438764,2,0
201310438765,1,0
201310438765,2,0
201310438770,1,0
201310438774,1,0
201310438774,2,0
201310438775,1,0
201310438789,1,17
201310438789,2,0
201310438793,1,0
201310438793,2,0
201310438794,1,0
201310438805,1,0
201310438805,2,17
201310438814,1,0
201310438814,2,0
201310438826,1,0
201310438826,2,0
201310438829,1,0
201310438843,1,0
201310438843,2,0
201310438845,1,0
201310438845,2,0
201310438851,1,0
201310438851,2,10
201310438854,1,0
201310438854,2,0
201310438858,1,0
201310438860,1,0
201310438860,2,0
201310438863,1,0
201310438863,2,0
201310438865,1,0
201310438870,1,0
201310438871,1,0
201310438871,2,0
201310438875,1,0
201310438875,2,0
201310438876,1,0
201310438876,2,0
201310438881,1,0
201310438882,1,0
201310438882,2,0
201310438915,1,0
201310438921,1,0
201310438921,2,0
201310438923,1,0
201310438923,2,0
201310438929,1,0
201310438929,2,0
201310438933,1,13
201310438938,1,0
201310438944,1,0
201310438950,1,0
201310438950,2,0
201310438953,1,0
201310438953,2,0
201310438956,1,0
201310438956,2,0
201310438957,1,0
201310438957,2,0
201310438969,1,17
201310438969,2,0
201310438973,1,0
201310438973,2,10
201310438980,1,17
201310438982,1,0
201310438982,2,0
201310438987,1,0
201310438992,1,0
201310438992,2,0
201310438993,1,0
201310438993,2,0
201310438999,1,17
201310438999,2,0
201310439003,1,0
201310439003,2,0
201310439006,1,0
201310439006,2,0
201310439011,1,0
201310439014,1,0
201310439015,1,17
201310439015,2,0
201310439018,1,17
201310439020,1,0
201310439021,1,12
201310439024,1,0
201310439025,1,17
201310439027,1,0
201310439030,1,0
201310439034,1,10
201310439035,1,0
201310439036,1,0
201310439037,1,0
201310439045,1,0
201310439048,1,17
201310439048,2,0
201310439060,1,0
201310439063,1,0
201310439063,2,0
201310439067,1,0
201310439075,1,0
201310439077,1,12
201310439079,1,0
201310439079,2,0
201310439081,1,0
201310439082,1,0
201310439082,2,0
201310439104,1,0
201310439104,2,0
201310439111,1,0
201310439111,2,0
201310439111,3,0
201310439116,1,0
201310439116,2,12
201310439119,1,0
201310439121,1,0
201310439121,2,17
201310439123,1,0
201310439123,2,0
201310439130,1,17
201310439130,2,0
201310439139,1,0
201310439142,1,0
201310439146,1,0
201310439146,2,0
201310439147,1,0
201310439155,1,0
201310439155,2,0
201310439155,3,0
201310439155,4,0
201310439156,1,0
201310439158,1,0
201310439158,2,0
201310439159,1,0
201310439159,2,0
201310439164,1,17
201310439164,2,0
201310439180,1,17
201310439180,2,0
201310439189,1,0
201310439192,1,0
