CASENUM,PER_NO,MTM_CRSH
201317282338,1,2
201317282338,1,9
201317282973,1,0
201317283323,1,12
201317283920,1,0
201317284465,1,0
201317285004,1,2
201317285004,1,3
201317285282,1,2
201317285282,1,3
201317285373,1,8
201317285526,1,7
201317285526,1,19
201317285600,1,4
201317285642,1,2
201317285642,1,3
201317285803,1,7
201317285812,1,0
201317286165,1,7
201317286299,1,2
201317286299,1,4
201317286409,1,2
201317286915,1,0
201317287153,1,2
201317287153,1,12
201317287352,1,1
201317287352,1,2
201317287352,1,19
201317287645,1,2
201317287645,1,3
201317287645,1,19
201317287649,1,0
201317682566,1,2
201317682861,1,0
201317682861,2,0
201317683226,1,0
201317683321,1,0
201317683713,1,1
201317683713,1,2
201317684956,1,1
201317684956,1,2
201317685029,1,0
201317685115,1,2
201317685900,1,2
201317686260,1,2
201317686862,1,21
201317687483,1,0
201317687720,1,0
201317688086,1,10
201317688530,1,0
201317688530,2,0
201317688618,1,1
201317688618,1,2
201317688817,1,1
201317689054,1,1
201317689054,1,2
201317689120,1,2
201317689195,1,0
201317689651,1,0
201317689859,1,0
201317690214,1,2
201317690250,1,2
201317690559,1,0
201317691369,1,2
201317692344,1,3
201317692393,1,0
201317693042,1,4
201317693659,1,0
201317693774,1,2
201317693894,1,2
201317693971,1,2
201317694282,1,2
201317694340,1,0
201317694658,1,2
201317695186,1,0
201317695218,1,2
201317695859,1,1
201317695994,1,0
201317696481,1,0
201317697306,1,1
201317697306,1,2
201317697936,1,0
201318443962,1,0
201318444442,1,0
201318444683,1,0
201318445213,1,0
201318445213,2,0
201318445213,3,0
201318445686,1,0
201318446295,1,0
201318446854,1,0
201318447262,1,0
201318447398,1,0
201318447463,1,0
201318447750,1,0
201318447766,1,0
201318447785,1,4
201318447835,1,0
201318447849,1,0
201318447860,1,0
201318447908,1,4
201318447988,1,0
201318448049,1,12
201318448077,1,0
201318448094,1,12
201318448104,1,1
201318448160,1,2
201318448182,1,0
201318448202,1,1
201318448252,1,0
201318448460,1,0
201318448527,1,0
201318448573,1,1
201318448594,1,0
201318448667,1,1
201318448667,1,2
201318448667,2,1
201318448667,2,2
201318448790,1,0
201318448825,1,0
201318449300,1,21
201318449324,1,0
201318449373,1,4
201318449571,1,0
201318449689,1,2
201318449689,1,3
201318450076,1,0
201318450426,1,0
201318450783,1,7
201318451029,1,0
201318451373,1,0
201318451660,1,0
201318451723,1,0
201318451911,1,0
201318452076,1,2
201318452076,1,3
201318452076,1,6
201318452201,1,0
201318453133,1,0
201318453431,1,8
201318453681,1,0
201318454017,1,1
201318454267,1,2
201318454591,1,0
201318910718,1,0
201318910718,2,0
201318910777,1,2
201318912442,1,9
201318913292,1,12
201318913498,1,6
201318913539,1,1
201318913539,1,2
201318913631,1,0
201318913732,1,2
201318913732,1,6
201318914134,1,0
201318914583,1,1
201318915633,1,0
201318915684,1,9
201318915981,1,0
201318916259,1,0
201318916650,1,0
201318916778,1,0
201318916795,1,2
201318917009,1,2
201318917057,1,0
201318917075,1,0
201318917182,1,1
201318917182,1,2
201318917254,1,0
201318917279,1,9
201318917637,1,1
201318917742,1,1
201318917904,1,21
201318917906,1,9
201318918178,1,1
201318918504,1,2
201318918504,1,12
201318918504,1,19
201318918845,1,0
201318919038,1,1
201318919038,1,2
201318919269,1,2
201318919269,1,12
201318919309,1,1
201318919854,1,0
201318919920,1,0
201319300310,1,2
201319300310,1,3
201319300996,1,1
201319300996,1,2
201319301370,1,1
201319301438,1,1
201319301438,1,2
201319301559,1,1
201319301779,1,12
201319301779,1,19
201319301920,1,1
201319302424,1,0
201319302482,1,2
201319302482,1,3
201319302646,1,19
201319302646,2,19
201319303292,1,2
201319303292,1,3
201319303292,1,12
201320102838,1,1
201320102838,1,2
201320102975,1,4
201320103418,1,1
201320103418,1,2
201320103596,1,2
201320103596,1,10
201320103596,1,16
201320103688,1,10
201320103723,1,2
201320103900,1,0
201320104424,1,1
201320104475,1,0
201320104484,1,1
201320104548,1,12
201320104630,1,1
201320104630,1,2
201320104658,1,21
201320104713,1,0
201320104790,1,0
201320104851,1,3
201320104862,1,1
201320104862,1,2
201320105108,1,1
201320105177,1,0
201320105178,1,0
201320105263,1,1
201320105263,1,2
201320519777,1,2
201320519778,1,0
201320519837,1,0
201320520092,1,6
201320520862,1,0
201320520863,1,21
201320521027,1,1
201320521027,1,2
201320521027,1,6
201320521078,1,0
201320931313,1,0
201320931386,1,0
201320931387,1,0
201320931564,1,6
201320931564,1,19
201320931586,1,0
201320931590,1,2
201320931609,1,10
201320931704,1,7
201320931946,1,0
201320931946,2,0
