CASENUM	VEH_NO	PER_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT	WEIGHT
201411113972	0	3	1	3	2	4	3	8	13.0465
201411114468	0	1	1	3	2	4	3	8	13.0465
201411114865	0	1	1	3	2	4	3	8	13.0465
201411115087	0	1	1	3	1	4	3	8	13.0465
201411115439	0	1	1	3	2	4	3	8	13.0465
201411115509	0	1	1	3	3	4	3	8	13.0465
201411115551	0	1	1	3	2	4	3	8	13.0465
201411115557	0	1	1	3	2	4	3	8	13.0465
201411115764	0	1	1	3	7	4	3	8	33.9209
201411115764	0	2	1	3	7	4	3	8	33.9209
201411116048	0	1	1	3	2	4	3	8	13.0465
201411116066	0	1	1	3	2	4	3	2	13.0465
201411116274	0	1	1	6	17	4	3	8	121.59338
201411116449	0	1	1	3	11	4	3	8	59.361575
201411116482	0	1	1	3	2	4	3	2	13.0465
201411116488	0	1	1	3	2	4	3	8	13.0465
201411116662	0	1	1	3	2	4	3	8	13.0465
201411116769	0	1	1	3	2	4	3	8	13.0465
201411116821	0	1	1	6	2	4	3	8	104.372
201411116873	0	1	1	3	2	4	3	2	13.0465
201411116991	0	1	1	3	1	4	3	8	13.0465
201411117320	0	1	1	3	2	4	3	8	13.0465
201411117389	0	1	1	3	4	4	3	8	13.0465
201411117524	0	1	1	3	2	4	3	8	13.0465
201411117541	0	1	1	3	2	4	3	8	13.0465
201411117549	0	1	1	3	2	4	3	8	13.0465
201411117555	0	1	1	3	2	4	3	8	13.0465
201411117571	0	1	1	3	3	4	3	8	13.0465
201411117628	0	1	1	3	2	4	3	2	13.0465
201411117669	0	1	1	4	11	4	3	8	237.4463
201411117674	0	1	1	3	11	4	3	2	59.361575
201411117677	0	1	1	3	11	4	3	2	59.361575
201411117738	0	1	1	3	3	4	3	1	13.0465
201411117826	0	1	1	3	2	4	3	8	13.0465
201411117834	0	1	1	3	2	4	3	8	13.0465
201411117871	0	1	1	3	7	4	3	8	33.9209
201411117976	0	1	1	3	3	4	3	8	13.0465
201411118229	0	1	1	3	2	4	3	8	13.0465
201411118276	0	1	1	3	2	4	3	8	13.0465
201411118292	0	1	1	3	3	4	3	8	13.0465
201411118324	0	1	1	3	1	4	3	8	13.0465
201411118345	0	1	1	3	6	4	3	8	27.13672
201411118488	0	1	1	3	3	4	3	8	13.0465
201411118498	0	1	1	3	3	4	3	8	13.0465
201411118688	0	1	1	3	1	4	3	8	13.0465
201411118774	0	1	1	4	1	4	3	8	234.837
201411118942	0	1	1	3	2	4	3	8	13.0465
201411118950	0	1	1	3	2	4	3	8	13.0465
201411118960	0	1	1	3	1	4	3	8	13.0465
201411118970	0	1	1	3	1	4	3	8	13.0465
201411119016	0	1	1	3	1	4	3	8	13.0465
201411119084	0	1	1	3	2	4	3	8	13.0465
201411119092	0	1	1	3	2	4	3	8	13.0465
201411119092	0	2	1	3	2	4	3	8	13.0465
201411119243	0	1	1	3	1	4	3	8	13.0465
201411119251	0	1	1	3	1	4	3	8	13.0465
201411119259	0	1	1	3	1	4	3	8	13.0465
201411119295	0	1	1	3	2	4	3	8	13.0465
201411119368	0	1	1	3	3	4	3	8	13.0465
201411119724	0	1	1	3	1	4	3	8	13.0465
201411119765	0	1	1	3	1	4	3	8	13.0465
201411119899	0	1	1	3	3	4	3	8	13.0465
201411120085	0	1	1	3	1	4	3	8	13.0465
201411120403	0	1	1	3	7	4	3	8	33.9209
201411120418	0	1	1	3	7	4	3	8	33.9209
201411120564	0	1	1	3	17	4	3	8	121.59338
201411120646	0	1	1	3	7	4	3	8	33.9209
201411120656	0	1	1	3	2	4	3	8	13.0465
201411120663	0	1	1	3	2	4	3	8	13.0465
201411120763	0	1	1	3	2	4	3	8	13.0465
201411120768	0	1	1	3	2	4	3	8	13.0465
201411120774	0	1	1	3	2	4	3	8	13.0465
201411120883	0	1	1	4	7	4	3	8	237.4463
201411120963	0	1	1	3	1	4	3	8	13.0465
201411120984	0	1	1	3	1	4	3	8	13.0465
201411121049	0	1	1	4	17	4	3	8	243.18676
201411121108	0	1	1	6	6	4	3	2	108.54688
201411121156	0	1	1	3	1	4	3	2	13.0465
201411121193	0	1	1	3	2	4	3	8	13.0465
201411121240	0	1	1	3	3	4	3	8	13.0465
201411121343	0	1	1	3	2	4	3	8	13.0465
201411121394	0	1	1	3	1	4	3	8	13.0465
201411121430	0	1	1	3	1	4	3	1	13.0465
201411121464	0	1	1	4	3	4	3	8	234.837
201411121468	0	1	1	3	1	4	3	8	13.0465
201411121565	0	1	1	3	4	4	3	8	13.0465
201411121624	0	1	1	3	2	4	3	8	13.0465
201411121842	0	1	1	3	17	4	3	8	121.59338
201411122047	0	1	1	3	2	4	3	8	13.0465
201411122077	0	1	1	3	3	4	3	2	13.0465
201411122091	0	1	1	3	3	4	3	2	13.0465
201411122627	0	1	1	3	2	4	3	8	13.0465
201411122722	0	1	1	3	2	4	3	8	13.0465
201411122842	0	1	1	3	4	4	3	1	13.0465
201411122863	0	1	1	3	1	4	3	8	13.0465
