CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_FORMS	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PMAK_MOD	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE	WEIGHT
201410741490	3	1	5	21	3	1	2	0	5	18	12	12	7	2	0	35	39	35039	4	2004	1N4BA41E74C8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	58.293488
201410741522	1	1	4	3	3	1	1	0	6	15	0	14	0	2	0	82	881	82881	63	2003	1FVACXCS93HK	0	77	777777777	77777777777	3	19	98	1	0	0	0	0	0	0	0	9	8	5	12	0	0	0	238.699652
201410741556	1	1	4	10	3	1	1	0	6	12	50	14	0	2	0	23	422	23422	15	2008	1GKFK13518R2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	14	0	0	0	239.16415
201410741556	2	1	4	10	3	1	1	0	6	12	50	14	0	2	0	12	399	12399	9	1997	1FMDU34E7VU2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	8	5	12	0	0	0	239.16415
201410741618	2	1	5	13	3	1	1	0	6	18	0	38	0	2	0	2	404	2404	14	1998	1J4GZ78S5WC1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	6	2	12	0	0	0	59.03196
201410741618	3	1	5	13	3	1	1	0	6	18	0	38	0	2	0	13	13	13013	4	2014	3LN6L2GK6ER8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0	59.03196
201410741618	4	1	5	13	3	1	1	0	6	18	0	38	0	2	0	35	49	35049	6	2011	JN8AZ1MW1BW1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	59.03196
201410741618	5	1	5	13	3	1	1	0	6	18	0	38	0	2	0	12	17	12017	4	2004	1FAFP55U24G2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	59.03196
201410741827	1	1	4	16	3	1	1	0	6	22	33	14	0	2	0	7	24	7024	4	2012	2C3CDXBG0CH2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	5	12	0	0	0	242.113968
201410741864	1	1	4	13	3	1	1	0	6	23	45	14	0	2	0	37	31	37031	2	2000	1HGEJ8242YL0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	5	12	0	0	0	243.506835
201410741964	2	1	4	21	3	1	1	0	6	19	10	14	0	2	0	34	37	34037	4	2006	WBAHN835X6DT	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	10	8	5	12	0	0	0	233.173952
201410742371	1	1	4	1	3	1	1	0	7	5	45	14	0	2	0	35	47	35047	4	1997	1N4BU31D0VC2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	2	8	5	12	0	0	0	239.1168
