CASENUM	VEH_NO	REGION	STRATUM	PJ	PSU	PSUSTRAT	MDRMANAV	WEIGHT
201410441065	2	1	6	2	2	3	0	108.584
201410441068	1	1	2	3	2	3	98	54.292
201410441068	2	1	2	3	2	3	0	54.292
201410441070	1	1	3	3	2	3	98	27.146
201410441073	1	1	4	6	2	3	98	246.401525
201410441076	1	1	6	6	2	3	98	98.56061
201410441079	1	1	6	6	2	3	98	98.56061
201410441079	2	1	6	6	2	3	98	98.56061
201410441081	1	1	6	10	2	3	98	89.85326
201410441081	2	1	6	10	2	3	98	89.85326
201410441082	1	1	6	10	2	3	98	89.85326
201410441083	1	1	6	10	2	3	98	89.85326
201410441083	2	1	6	10	2	3	98	89.85326
201410441085	1	1	4	10	2	3	0	269.55978
201410441085	2	1	4	10	2	3	98	269.55978
201410441104	1	1	4	1	2	3	0	244.314
201410441104	2	1	4	1	2	3	0	244.314
201410441121	1	1	6	3	2	3	0	108.584
201410441121	2	1	6	3	2	3	4	108.584
201410441126	1	1	6	4	2	3	98	107.77342
201410441126	2	1	6	4	2	3	98	107.77342
201410441128	1	1	4	4	2	3	98	215.54684
201410441132	1	1	4	4	2	3	98	215.54684
201410441132	2	1	4	4	2	3	98	215.54684
201410441136	1	1	4	4	2	3	98	215.54684
201410441136	2	1	4	4	2	3	0	215.54684
201410441143	1	1	4	6	2	3	98	246.401525
201410441146	1	1	6	6	2	3	0	98.56061
201410441148	1	1	6	6	2	3	0	98.56061
201410441148	2	1	6	6	2	3	98	98.56061
201410441152	1	1	6	10	2	3	98	89.85326
201410441155	2	1	4	10	2	3	99	269.55978
201410441164	1	1	5	1	2	3	98	54.292
201410441165	1	1	6	1	2	3	98	108.584
201410441170	1	1	4	3	2	3	98	244.314
201410441170	2	1	4	3	2	3	98	244.314
201410441174	1	1	6	6	2	3	0	98.56061
201410441175	1	1	4	6	2	3	98	246.401525
201410441178	1	1	1	6	2	3	98	49.280305
201410441181	1	1	4	10	2	3	98	269.55978
201410441184	1	1	1	10	2	3	98	89.85326
201410441185	1	1	4	10	2	3	98	269.55978
201410441186	1	1	6	10	2	3	98	89.85326
201410441186	2	1	6	10	2	3	98	89.85326
201410441190	1	1	6	9	2	3	98	115.047462
201410441190	2	1	6	9	2	3	98	115.047462
201410441191	1	1	4	9	2	3	98	230.094924
201410441195	1	1	4	9	2	3	98	230.094924
201410441195	2	1	4	9	2	3	98	230.094924
201410441200	1	1	4	9	2	3	98	230.094924
201410441200	2	1	4	9	2	3	0	230.094924
201410441203	1	1	6	9	2	3	98	115.047462
201410441206	1	1	6	9	2	3	98	115.047462
201410441206	2	1	6	9	2	3	4	115.047462
201410441207	1	1	4	9	2	3	98	230.094924
201410441207	2	1	4	9	2	3	98	230.094924
201410441209	1	1	5	9	2	3	98	57.523731
201410441211	1	1	5	9	2	3	98	57.523731
201410441211	2	1	5	9	2	3	98	57.523731
201410441214	1	1	4	9	2	3	98	230.094924
201410441218	1	1	5	9	2	3	0	57.523731
201410441218	2	1	5	9	2	3	98	57.523731
201410441219	1	1	4	9	2	3	98	230.094924
201410441220	1	1	6	9	2	3	98	115.047462
201410441225	1	1	4	9	2	3	98	230.094924
201410441227	1	1	6	9	2	3	98	115.047462
201410441227	2	1	6	9	2	3	98	115.047462
201410441230	1	1	4	9	2	3	98	230.094924
201410441233	1	1	6	9	2	3	98	115.047462
201410441236	1	1	6	9	2	3	98	115.047462
201410441236	2	1	6	9	2	3	0	115.047462
201410441238	1	1	4	9	2	3	4	230.094924
201410441238	2	1	4	9	2	3	98	230.094924
201410441245	1	1	4	6	2	3	98	246.401525
201410441245	2	1	4	6	2	3	98	246.401525
201410441248	1	1	5	6	2	3	4	49.280305
201410441248	2	1	5	6	2	3	98	49.280305
201410441251	1	1	6	6	2	3	98	98.56061
201410441251	2	1	6	6	2	3	4	98.56061
201410441253	1	1	4	6	2	3	98	246.401525
201410441259	1	1	4	6	2	3	0	246.401525
201410441259	2	1	4	6	2	3	98	246.401525
201410441261	1	1	6	6	2	3	98	98.56061
201410441261	2	1	6	6	2	3	4	98.56061
201410441269	1	1	6	1	2	3	98	108.584
201410441273	1	1	4	2	2	3	98	244.314
201410441273	2	1	4	2	2	3	0	244.314
201410441285	1	1	6	4	2	3	98	107.77342
201410441285	2	1	6	4	2	3	98	107.77342
201410441288	1	1	6	4	2	3	0	107.77342
201410441288	2	1	6	4	2	3	4	107.77342
201410441290	1	1	6	4	2	3	3	107.77342
201410441291	1	1	4	4	2	3	98	215.54684
201410441291	2	1	4	4	2	3	0	215.54684
201410441295	1	1	5	6	2	3	92	49.280305
201410441298	1	1	4	6	2	3	98	246.401525
201410441298	2	1	4	6	2	3	4	246.401525
201410441304	1	1	6	10	2	3	98	89.85326
201410441307	1	1	5	10	2	3	98	89.85326
201410441308	1	1	5	10	2	3	98	89.85326
201410441309	1	1	6	10	2	3	98	89.85326
201410441309	2	1	6	10	2	3	98	89.85326
201410441309	3	1	6	10	2	3	98	89.85326
201410441311	1	1	1	10	2	3	98	89.85326
201410441311	2	1	1	10	2	3	98	89.85326
201410441324	1	1	4	3	2	3	98	244.314
201410441324	2	1	4	3	2	3	98	244.314
201410441330	1	1	6	3	2	3	98	108.584
201410441330	2	1	6	3	2	3	98	108.584
201410441332	1	1	4	6	2	3	98	246.401525
201410441333	1	1	5	6	2	3	98	49.280305
201410441334	1	1	6	6	2	3	98	98.56061
201410441334	2	1	6	6	2	3	0	98.56061
201410441334	3	1	6	6	2	3	98	98.56061
201410441337	1	1	6	6	2	3	3	98.56061
201410441339	1	1	6	6	2	3	0	98.56061
201410441339	2	1	6	6	2	3	98	98.56061
201410441340	1	1	5	6	2	3	98	49.280305
201410441340	2	1	5	6	2	3	98	49.280305
201410441344	1	1	5	6	2	3	98	49.280305
201410441344	2	1	5	6	2	3	98	49.280305
201410441346	1	1	4	6	2	3	3	246.401525
201410441350	1	1	4	10	2	3	98	269.55978
201410441350	2	1	4	10	2	3	98	269.55978
201410441353	1	1	4	10	2	3	98	269.55978
201410441353	2	1	4	10	2	3	99	269.55978
201410441359	1	1	4	1	2	3	98	244.314
201410441365	1	1	6	2	2	3	98	108.584
201410441366	1	1	5	2	2	3	98	54.292
201410441366	2	1	5	2	2	3	98	54.292
201410441369	1	1	5	3	2	3	98	54.292
201410441369	2	1	5	3	2	3	98	54.292
201410441377	1	1	5	4	2	3	98	53.88671
201410441377	2	1	5	4	2	3	98	53.88671
201410441378	1	1	4	4	2	3	98	215.54684
201410441380	1	1	6	4	2	3	98	107.77342
201410441380	2	1	6	4	2	3	98	107.77342
201410441384	1	1	4	10	2	3	98	269.55978
201410441384	2	1	4	10	2	3	0	269.55978
201410441385	1	1	6	10	2	3	98	89.85326
201410441404	1	1	5	1	2	3	98	54.292
201410441404	2	1	5	1	2	3	0	54.292
201410441418	1	1	6	6	2	3	92	98.56061
201410441421	1	1	5	6	2	3	98	49.280305
201410441421	2	1	5	6	2	3	98	49.280305
201410441423	1	1	6	6	2	3	98	98.56061
201410441424	1	1	4	6	2	3	98	246.401525
201410441427	1	1	5	6	2	3	0	49.280305
201410441427	2	1	5	6	2	3	4	49.280305
201410441427	3	1	5	6	2	3	98	49.280305
201410441427	4	1	5	6	2	3	0	49.280305
201410441431	1	1	6	6	2	3	98	98.56061
201410441432	1	1	5	6	2	3	98	49.280305
201410441432	2	1	5	6	2	3	98	49.280305
201410441433	1	1	4	6	2	3	98	246.401525
201410441436	1	1	2	10	2	3	98	89.85326
201410441436	2	1	2	10	2	3	98	89.85326
201410441437	1	1	6	10	2	3	98	89.85326
201410441437	2	1	6	10	2	3	98	89.85326
201410441439	2	1	4	10	2	3	98	269.55978
201410441442	1	1	6	10	2	3	92	89.85326
201410441443	1	1	4	10	2	3	98	269.55978
201410441443	2	1	4	10	2	3	98	269.55978
201410441474	1	1	5	3	2	3	98	54.292
201410441477	1	1	4	3	2	3	92	244.314
201410441477	2	1	4	3	2	3	98	244.314
201410441478	1	1	6	3	2	3	0	108.584
201410441478	2	1	6	3	2	3	98	108.584
201410441487	1	1	6	6	2	3	98	98.56061
201410441488	1	1	4	6	2	3	98	246.401525
201410441488	2	1	4	6	2	3	0	246.401525
201410441492	1	1	5	10	2	3	0	89.85326
201410441492	2	1	5	10	2	3	98	89.85326
201410441495	1	1	6	10	2	3	0	89.85326
201410441495	2	1	6	10	2	3	0	89.85326
201410441496	1	1	3	10	2	3	98	89.85326
201410441496	2	1	3	10	2	3	98	89.85326
201410441499	1	1	6	16	2	3	98	106.644961
201410441500	1	1	6	16	2	3	98	106.644961
201410441501	1	1	6	16	2	3	99	106.644961
201410441502	1	1	4	16	2	3	99	213.289922
201410441504	1	1	4	16	2	3	98	213.289922
201410441505	1	1	5	16	2	3	98	106.644961
201410441547	1	1	3	1	2	3	98	27.146
201410441548	1	1	4	1	2	3	98	244.314
201410441548	2	1	4	1	2	3	98	244.314
201410441557	1	1	3	3	2	3	98	27.146
201410441564	1	1	6	6	2	3	98	98.56061
201410441564	2	1	6	6	2	3	98	98.56061
201410441566	1	1	6	6	2	3	98	98.56061
201410441567	1	1	4	6	2	3	98	246.401525
201410441574	1	1	4	10	2	3	98	269.55978
201410441576	1	1	6	10	2	3	0	89.85326
201410441576	2	1	6	10	2	3	4	89.85326
201410441578	1	1	1	10	2	3	98	89.85326
201410441578	2	1	1	10	2	3	98	89.85326
201410441584	1	1	4	2	2	3	4	244.314
201410441584	2	1	4	2	2	3	98	244.314
201410441591	1	1	5	3	2	3	98	54.292
201410441591	2	1	5	3	2	3	98	54.292
201410441595	1	1	4	3	2	3	98	244.314
201410441595	2	1	4	3	2	3	4	244.314
201410441598	1	1	6	3	2	3	98	108.584
201410441598	2	1	6	3	2	3	98	108.584
201410441608	1	1	4	3	2	3	98	244.314
201410441608	2	1	4	3	2	3	98	244.314
201410441610	1	1	4	6	2	3	98	246.401525
201410441612	1	1	4	10	2	3	4	269.55978
201410441612	2	1	4	10	2	3	98	269.55978
201410441630	1	1	6	1	2	3	98	108.584
201410441633	1	1	4	1	2	3	98	244.314
201410441641	1	1	5	3	2	3	98	54.292
201410441641	2	1	5	3	2	3	98	54.292
201410441644	1	1	1	3	2	3	98	27.146
201410441644	2	1	1	3	2	3	98	27.146
201410441649	1	1	5	3	2	3	98	54.292
201410441649	2	1	5	3	2	3	0	54.292
201410441649	3	1	5	3	2	3	98	54.292
201410441655	1	1	4	4	2	3	98	215.54684
201410441655	2	1	4	4	2	3	98	215.54684
201410441660	1	1	4	4	2	3	98	215.54684
201410441660	2	1	4	4	2	3	98	215.54684
201410441662	1	1	5	4	2	3	98	53.88671
201410441663	1	1	1	4	2	3	98	53.88671
201410441664	1	1	6	4	2	3	98	107.77342
201410441664	2	1	6	4	2	3	98	107.77342
201410441666	1	1	5	4	2	3	98	53.88671
201410441666	2	1	5	4	2	3	98	53.88671
201410441668	1	1	5	4	2	3	92	53.88671
201410441668	2	1	5	4	2	3	98	53.88671
201410441668	3	1	5	4	2	3	0	53.88671
201410441670	1	1	4	4	2	3	98	215.54684
201410441671	1	1	6	4	2	3	3	107.77342
201410441676	1	1	4	4	2	3	98	215.54684
201410441676	2	1	4	4	2	3	4	215.54684
201410441680	1	1	5	6	2	3	98	49.280305
201410441681	1	1	6	6	2	3	98	98.56061
201410441682	1	1	5	6	2	3	98	49.280305
201410441682	2	1	5	6	2	3	98	49.280305
201410441685	1	1	5	6	2	3	98	49.280305
201410441689	1	1	6	10	2	3	98	89.85326
201410441691	1	1	5	9	2	3	98	57.523731
201410441691	2	1	5	9	2	3	98	57.523731
201410441693	1	1	6	9	2	3	98	115.047462
201410441694	1	1	4	9	2	3	98	230.094924
201410441698	1	1	6	9	2	3	98	115.047462
201410441699	1	1	1	9	2	3	98	57.523731
201410441700	1	1	5	9	2	3	98	57.523731
201410441700	2	1	5	9	2	3	98	57.523731
201410441703	1	1	4	9	2	3	98	230.094924
201410441703	2	1	4	9	2	3	98	230.094924
201410441704	1	1	5	9	2	3	98	57.523731
201410441704	2	1	5	9	2	3	98	57.523731
201410441705	1	1	6	9	2	3	98	115.047462
201410441710	1	1	4	9	2	3	98	230.094924
201410441713	1	1	6	9	2	3	98	115.047462
201410441716	1	1	4	9	2	3	98	230.094924
201410441724	1	1	6	1	2	3	98	108.584
201410441729	1	1	6	2	2	3	98	108.584
201410441729	2	1	6	2	2	3	98	108.584
201410441731	1	1	2	3	2	3	98	54.292
201410441734	1	1	6	6	2	3	98	98.56061
201410441737	1	1	1	6	2	3	98	49.280305
201410441740	1	1	4	10	2	3	98	269.55978
201410441740	2	1	4	10	2	3	4	269.55978
201410441741	1	1	6	10	2	3	98	89.85326
201410441742	1	1	5	10	2	3	98	89.85326
201410441742	2	1	5	10	2	3	98	89.85326
201410441743	1	1	6	10	2	3	98	89.85326
201410441743	2	1	6	10	2	3	0	89.85326
201410441769	1	1	4	3	2	3	98	244.314
201410441769	2	1	4	3	2	3	0	244.314
201410441779	1	1	1	3	2	3	98	27.146
201410441779	2	1	1	3	2	3	98	27.146
201410441780	1	1	4	3	2	3	98	244.314
201410441780	2	1	4	3	2	3	0	244.314
201410441781	1	1	5	3	2	3	98	54.292
201410441781	2	1	5	3	2	3	0	54.292
201410441784	1	1	4	6	2	3	98	246.401525
201410441784	2	1	4	6	2	3	0	246.401525
201410441789	1	1	6	6	2	3	3	98.56061
