CASENUM,VEH_NO,MTM_CRSH
201017504156,1,0
201017504165,1,2
201017504165,1,10
201017504167,1,1
201017504178,1,7
201017504206,1,0
201017504229,1,2
201017504232,1,21
201017504283,1,4
201017504315,1,0
201017504316,1,0
201017504343,1,1
201017504373,1,2
201017504373,1,3
201017504384,1,0
201017504390,1,0
201017504391,1,3
201017504394,1,0
201017504397,1,0
201017504411,1,1
201017504416,1,2
201017504416,1,3
201017504441,1,0
201017504452,1,0
201017504495,1,0
201017504496,1,0
201017504529,1,2
201017504531,1,0
201017504552,1,12
201017504592,1,1
201017504628,1,2
201017504628,1,3
201017504634,1,1
201017504644,1,0
201017504683,1,0
201017504690,1,0
201017504705,1,1
201017504705,1,2
201017504730,1,0
201017504736,1,1
201017504743,1,0
201017504743,2,0
201017504744,1,1
201017504744,1,2
201017504766,1,0
201017504769,1,0
201017504785,1,0
201017504876,1,1
201017504878,1,2
201017504878,1,3
201017504886,1,9
201017504950,1,21
201017505093,1,0
201017505093,2,0
201017505098,1,0
201017505121,1,10
201017505125,1,0
201017505138,1,2
201017505138,1,3
201017505246,1,12
201017505282,1,0
201017505401,1,0
201017505406,1,0
201017505423,1,0
201017505510,1,0
201017505513,1,0
201017505554,1,12
201017505576,1,0
201017505582,1,0
201017505661,1,0
201017638593,1,0
201017639244,1,0
201017639399,1,0
201017639867,1,3
201017640418,1,0
201017640495,1,2
201017640495,1,12
201017640942,1,2
201017640942,1,12
201017641052,1,2
201017641518,1,1
201017641518,1,2
201017641518,1,12
201017642119,1,9
201017642239,1,2
201017642239,1,12
201017642979,1,1
201017643366,1,0
201017643366,2,0
201017643378,1,2
201017643378,1,3
201017643542,1,0
201017643769,1,0
201017644136,1,1
201017644136,1,2
201017644281,1,2
201017644324,1,2
201017644324,1,17
201017644557,1,0
201017644764,1,1
201017645038,1,4
201017645038,2,4
201017645161,1,0
201017645430,1,0
201017645731,1,0
201017645889,1,2
201017645889,1,3
201017645991,1,0
201017646528,1,2
201017646528,1,7
201017646864,1,0
201017646886,1,2
201017647037,1,4
201017647163,1,2
201017647163,1,12
201017647508,1,2
201017647508,1,3
201017647973,1,2
201017647973,1,12
201017648506,1,1
201017648506,1,2
201017648752,1,0
201017649094,1,0
201017649250,1,2
201017649282,1,21
201017649345,1,1
201017649345,1,2
201017649562,1,0
201017649839,1,1
201017649839,1,2
201017649839,1,12
201017649937,1,0
201017649949,1,2
201017649949,1,12
201017650278,1,0
201017650310,1,2
201017650310,1,12
201017650376,1,2
201017650674,1,1
201017650674,1,2
201017650738,1,7
201017650811,1,2
201017650811,1,3
201017650826,1,2
201017650826,1,12
201017651101,1,0
201017651342,1,2
201017651342,1,12
201017651342,2,2
201017651342,2,12
201017652060,1,0
201017652091,1,2
201017652091,1,12
201017652091,2,2
201017652091,2,12
201017652156,1,2
201017652357,1,0
201017653129,1,2
201017653129,1,12
201018454949,1,0
201018455296,1,1
201018456006,1,0
201018456670,1,0
201018457077,1,0
201018457120,1,0
201018457437,1,0
201018457633,1,0
201018457969,1,19
201018458406,1,0
201018458478,1,1
201018458948,1,0
201018459086,1,3
201018459167,1,2
201018459167,1,3
201018459296,1,0
201018459406,1,0
201018459731,1,2
201018459746,1,1
201018459900,1,0
201018460011,1,2
201018460011,1,12
201018460202,1,0
201018460420,1,1
201018460464,1,8
201018460677,1,7
201018460924,1,0
201018461075,1,15
201018461222,1,2
201018461222,1,17
201018461274,1,0
201018461275,1,2
201018461275,1,6
201018461275,1,21
201018461499,1,0
201018461503,1,1
201018461503,1,3
201018461707,1,0
201018461789,1,0
201018461928,1,0
201018462175,1,21
201018462292,1,0
201018462411,1,18
201018462607,3,0
201018463013,1,1
201018463034,1,12
201018463034,1,19
201018463192,1,0
201018463196,1,0
201018463208,1,2
201018463208,1,3
201018463611,1,4
201018463641,1,0
201018463855,1,0
201018463855,2,0
201018463855,3,0
201018463855,4,0
201018463855,5,0
201018463855,6,0
201018463855,7,0
201018464614,1,2
201018464708,1,3
201018464708,1,12
201018465159,1,0
201018465266,1,2
201018465266,1,3
201018465268,1,0
201018465272,1,0
201018465758,1,21
201018465888,1,0
201018466098,1,2
201018466098,1,4
201018466463,1,0
201018466640,1,0
201018467162,1,1
201018467162,1,2
201018467289,1,0
201018467351,1,0
201018467438,1,0
201018467693,1,0
201018467709,1,2
201018467709,1,3
201018467835,1,0
201018468003,1,0
201018468003,2,0
201018468097,1,0
201018468204,1,0
201018468232,1,9
201018468433,1,1
201018468433,1,2
201018469102,1,4
201018469158,1,0
201018469210,1,2
201018469713,1,1
201018469713,1,12
201018469976,1,0
201018470573,1,0
201018471059,1,0
201018472514,1,0
201018472514,2,0
201018472608,1,0
201018473111,1,0
201018473211,1,0
201018473267,1,4
201018473267,1,12
201018473271,1,0
201018501398,1,4
201018501686,1,19
201018501833,1,1
201018501891,1,1
201018978357,1,4
201018979069,1,4
201018979312,1,13
201018979312,1,14
201018979312,1,19
201018979546,1,1
201018979775,1,2
201018979775,1,3
201018979775,1,10
201018980147,1,1
201018980147,1,2
201018980147,1,3
201018980147,1,12
201018981296,1,2
201018981468,1,1
201018981509,1,1
201018981509,1,19
201018981509,2,1
201018981509,2,19
201018981648,1,9
201018981675,1,0
201018981688,1,0
201018981724,1,2
201018981724,1,3
201018981884,1,2
201018981884,1,9
201018982126,1,21
201018982233,1,2
201018982233,1,3
201018982233,1,12
201018982297,1,2
201018982297,1,3
201018982451,1,0
