CASENUM,STRATUM,REGION,PJ,PSU,PSUSTRAT,WEIGHT,VE_TOTAL,MONTH,WKDY_IM,YEAR,HOUR_IM,MINUTE_IM,EVENT1_IM,MANCOL_IM,RELJCT1_IM,RELJCT2_IM,LGTCON_IM,WEATHR_IM,MAXSEV_IM,NO_INJ_IM,ALCHL_IM,LAND_USE,PVH_INVL,TYP_INT,REL_ROAD,CF1,CF2,CF3
201027902214,4,3,2,42,8,295.8,2,2,2,2010,10,53,12,7,0,2,1,10,0,0,2,8,0,3,1,,,
201027902235,6,3,2,42,8,129.152,2,2,3,2010,8,36,12,6,0,2,1,1,0,0,2,8,0,2,1,,,
201027902270,3,3,4,42,8,16.665,2,2,3,2010,20,11,12,6,0,2,3,10,2,1,2,3,0,3,1,,,
201027902282,6,3,4,42,8,129.152,1,2,5,2010,1,38,43,0,0,1,3,1,0,0,1,3,0,1,3,,,
201027902326,3,3,4,42,8,16.665,1,2,1,2010,3,48,21,0,0,1,3,1,2,1,2,3,0,1,1,,,
201027902332,4,3,4,42,8,295.8,2,2,1,2010,9,18,12,7,0,1,1,1,0,0,2,3,0,1,1,,,
201027902344,5,3,1,42,8,58.327,2,1,6,2010,8,2,12,6,0,2,1,1,1,1,2,8,0,2,1,,,
201027902350,1,3,1,42,8,4.166,2,2,7,2010,3,7,12,6,0,2,3,1,3,1,2,8,0,2,1,,,
201027902376,6,3,1,42,8,129.152,2,2,6,2010,17,17,12,6,0,2,1,1,1,1,2,8,0,2,1,,,
201027902416,3,3,1,42,8,16.665,1,2,6,2010,15,45,21,0,0,1,1,1,2,1,2,8,0,1,1,,,
201027902422,1,3,1,42,8,4.166,2,2,6,2010,16,45,12,2,0,4,1,1,3,5,2,8,0,1,1,,,
201027902423,1,3,2,42,8,4.166,2,2,6,2010,15,27,12,6,0,2,1,1,3,1,2,8,0,2,1,,,
201027902438,2,3,6,42,8,4.227,2,2,6,2010,17,34,12,1,0,1,1,1,1,1,2,8,0,1,1,,,
201027902442,1,3,1,61,9,34.715,1,3,4,2010,7,15,42,0,0,1,1,1,3,1,2,8,0,1,3,,,
201027902444,6,3,1,61,9,138.859,2,3,4,2010,17,52,12,6,0,2,1,1,1,2,2,8,0,3,1,,,
201027902446,1,3,1,61,9,34.715,1,2,1,2010,8,42,42,0,0,1,1,1,3,1,2,8,0,1,4,,,
201027902447,5,3,1,61,9,69.429,3,2,7,2010,0,23,12,1,0,1,6,2,1,1,2,8,0,1,1,,,
201027902451,4,3,1,61,9,277.718,2,2,7,2010,10,53,12,1,1,5,1,2,0,0,2,8,0,8,1,,,
201027902454,1,3,1,61,9,34.715,2,2,7,2010,8,40,12,6,0,2,1,10,4,3,2,8,0,2,1,,,
201027902455,1,3,1,61,9,34.715,6,2,5,2010,14,1,14,0,0,1,1,1,3,1,1,8,5,1,5,,,
201027902457,5,3,1,61,9,69.429,1,2,1,2010,13,34,74,0,0,1,1,1,1,1,2,8,0,1,4,,,
201027902458,1,3,1,61,9,34.715,2,2,7,2010,18,25,12,6,0,2,5,10,3,1,2,8,0,3,1,,,
201027902459,3,3,1,61,9,34.715,1,3,2,2010,16,52,1,0,0,2,1,1,2,1,2,8,0,8,1,,,
201027902460,6,3,1,61,9,138.859,2,2,5,2010,14,50,12,6,0,2,1,1,1,1,2,8,0,2,1,,,
201027902463,5,3,1,61,9,69.429,2,2,6,2010,19,21,12,6,0,2,3,1,2,1,2,8,0,3,1,,,
201027902464,1,3,1,61,9,34.715,1,2,7,2010,16,28,42,0,0,1,1,10,3,1,2,8,0,1,5,,,
201027902466,3,3,1,61,9,34.715,1,2,6,2010,10,51,74,0,0,1,1,1,3,1,2,8,0,1,4,,,
201027902479,3,3,2,42,8,16.665,2,2,2,2010,15,28,12,7,0,1,1,2,3,2,2,8,0,1,1,,,
201027902480,1,3,2,42,8,4.166,1,2,1,2010,4,26,74,0,0,1,3,1,3,1,2,8,0,1,3,,,
201027902488,1,3,2,42,8,4.166,1,2,1,2010,4,50,1,0,0,1,3,1,3,2,2,8,0,1,2,,,
201027902502,5,3,2,42,8,58.327,1,2,1,2010,11,50,25,0,0,1,1,10,2,2,2,8,0,1,3,,,
201027902506,2,3,2,42,8,4.166,2,2,2,2010,5,38,12,7,0,1,1,2,0,0,2,8,0,1,1,,,
201027902520,2,3,2,42,8,4.166,1,2,3,2010,13,57,12,0,1,5,1,10,0,0,2,8,0,1,1,,,
201027902542,6,3,2,42,8,129.152,2,2,6,2010,13,29,12,1,0,1,1,1,1,1,2,8,0,1,1,,,
201027902554,4,3,2,42,8,295.8,2,3,3,2010,19,20,12,7,0,1,2,1,0,0,2,8,0,1,1,,,
201027902562,5,3,11,42,8,59.51,2,1,1,2010,17,59,12,6,0,2,1,1,2,3,2,2,0,2,1,,,
201027902565,3,3,11,42,8,23.804,2,3,2,2010,7,45,12,6,0,2,1,1,3,1,2,2,0,2,1,,,
201027902566,1,3,11,42,8,11.902,2,2,1,2010,1,16,12,1,0,2,2,1,3,3,1,2,0,2,1,,,
201027902573,5,3,1,42,8,58.327,2,3,6,2010,12,23,12,6,0,2,1,1,2,1,2,8,0,2,1,,,
201027902597,1,3,1,42,8,4.166,2,2,7,2010,4,45,12,6,0,2,3,1,3,2,1,8,0,2,1,,,
201027902605,2,3,1,42,8,4.166,2,3,4,2010,9,57,12,6,0,1,1,1,1,1,2,8,0,1,1,,,
201027902618,3,3,1,42,8,16.665,1,3,2,2010,7,0,21,0,0,1,1,1,2,1,1,8,0,1,1,,,
201027902637,6,3,1,42,8,129.152,2,3,2,2010,18,8,12,6,0,2,1,1,0,0,2,8,0,2,1,,,
201027902639,4,3,1,42,8,295.8,2,3,2,2010,10,15,12,7,0,1,1,1,0,0,2,8,0,1,1,,,
