CASENUM,VEH_NO,DRIMPAIR
201010427704,1,0
201010427706,1,0
201010427707,1,0
201010427707,2,0
201010427709,1,0
201010427709,2,0
201010427711,1,0
201010427711,2,0
201010427713,1,0
201010427713,2,0
201010427732,1,0
201010427732,2,0
201010427732,3,0
201010427733,1,0
201010427733,2,0
201010427734,1,0
201010427735,1,0
201010427735,2,0
201010427738,1,0
201010427740,1,0
201010427745,1,0
201010427746,1,0
201010427746,2,0
201010427746,3,0
201010427746,4,0
201010427748,1,0
201010427750,1,0
201010427754,1,9
201010427758,1,0
201010427761,1,0
201010427765,1,0
201010427765,2,0
201010427766,0,0
201010427766,1,0
201010427769,1,0
201010427770,1,0
201010427772,1,0
201010427773,1,0
201010427773,2,0
201010427774,1,0
201010427786,1,0
201010427786,2,0
201010427789,1,0
201010427789,2,0
201010427792,1,0
201010427792,2,0
201010427792,3,0
201010427793,1,0
201010427793,2,0
201010427795,1,0
201010427795,2,0
201010427800,1,0
201010427800,2,0
201010427803,1,0
201010427803,2,0
201010427804,1,0
201010427805,1,2
201010427805,2,0
201010427807,1,1
201010427829,1,0
201010427829,2,0
201010427830,1,0
201010427830,2,0
201010427837,1,0
201010427837,2,0
201010427843,1,0
201010427843,2,0
201010427847,1,0
201010427847,2,0
201010427848,1,0
201010427852,1,0
201010427858,1,0
201010427860,1,0
201010427862,1,0
201010427862,2,0
201010427863,1,0
201010427863,2,0
201010427865,1,0
201010427865,2,0
201010427866,1,0
201010427868,1,0
201010427871,1,0
201010427872,1,0
201010427872,2,0
201010427880,1,0
201010427880,2,0
201010427881,1,0
201010427884,1,1
201010427890,1,0
201010427890,2,0
201010427892,1,0
201010427896,1,9
201010427898,1,0
201010427899,1,0
201010427901,1,1
201010427902,1,0
201010427906,1,0
201010427906,2,0
201010427909,1,9
201010427910,1,0
201010427910,2,0
201010427913,1,0
201010427914,1,0
201010427915,1,0
201010427915,2,0
201010427915,3,0
201010427917,1,0
201010427919,1,0
201010427919,2,0
201010427920,1,0
201010427920,2,0
201010427924,1,0
201010427924,2,0
201010427936,1,0
201010427936,2,0
201010427937,1,0
201010427945,1,0
201010427945,2,0
201010427946,1,0
201010427946,2,0
201010427949,1,0
201010427950,1,0
201010427956,1,0
201010427956,2,0
201010427957,1,0
201010427957,2,0
201010427959,1,0
201010427964,1,0
201010427965,1,0
201010427965,2,0
201010427966,1,0
201010427966,2,0
201010427967,1,0
201010427972,1,0
201010427972,2,0
201010427975,1,0
201010427977,1,0
201010427977,2,0
201010427981,0,0
201010427981,1,0
201010427983,1,0
201010427983,2,0
201010427989,1,0
201010427989,2,0
201010427992,1,0
201010427992,2,0
201010427993,1,0
201010428004,1,9
201010428010,1,0
201010428011,1,0
201010428011,2,0
201010428011,3,0
201010428013,1,0
201010428013,2,0
201010428016,1,0
201010428016,2,0
201010428021,1,0
201010428021,2,0
201010428023,1,0
201010428028,1,9
201010428030,1,0
201010428032,1,0
201010428032,2,0
201010428033,1,0
201010428034,1,0
201010428034,2,0
201010428035,1,0
201010428039,1,0
201010428039,2,0
201010428041,1,1
201010428042,1,0
201010428042,2,0
201010428046,1,9
201010428046,2,0
201010428049,1,9
201010428051,1,0
201010428052,1,0
201010428052,2,0
201010428066,1,0
201010428069,1,0
201010428072,1,0
201010428080,1,0
201010428080,2,0
201010428088,1,0
201010428088,2,0
201010428090,1,0
201010428090,2,0
201010428096,1,0
201010428099,1,0
201010428102,1,0
201010428105,1,0
201010428105,2,0
201010428106,1,0
201010428109,1,0
201010428109,2,0
201010428111,0,0
201010428111,1,0
201010428128,1,0
201010428128,2,0
201010428130,1,0
201010428135,0,0
201010428135,1,0
201010428136,1,0
201010428139,1,0
201010428141,1,0
201010428142,1,0
201010428144,1,0
201010428144,2,0
201010428150,2,0
201010428155,1,0
201010428158,1,0
201010428159,1,0
201010428159,2,0
201010428160,1,0
201010428164,1,0
201010428165,2,0
201010428167,1,0
201010428170,1,0
201010428187,1,0
201010428190,1,0
201010428190,2,0
201010428193,1,0
201010428193,2,0
201010428193,3,0
201010428195,1,0
201010428197,1,0
201010428197,2,0
201010428199,1,0
201010428199,2,0
201010428207,1,9
201010428208,1,0
201010428208,2,0
201010428209,1,0
201010428209,2,0
201010428214,1,2
201010428217,1,0
201010428223,1,0
201010428223,2,0
201010428224,1,0
201010428224,2,0
201010428225,1,0
201010428225,2,0
201010428226,1,0
201010428226,2,0
201010428227,1,0
201010428229,1,0
201010428229,2,0
201010428231,1,0
201010428231,2,0
201010428236,1,0
201010428236,2,0
201010428237,1,0
201010428237,2,0
201010428238,1,1
201010428238,1,2
201010428245,1,0
201010428245,2,0
201010428259,1,0
201010428259,2,0
201010428262,1,0
201010428262,2,0
201010428262,3,0
201010428266,1,0
201010428266,2,0
201010428269,1,0
201010428269,2,0
201010428271,1,0
201010428271,2,0
201010428274,1,0
201010428274,2,0
201010428275,1,0
201010428275,2,0
201010428284,1,0
201010428286,1,0
201010428295,1,0
201010428295,2,0
201010428296,1,0
201010428300,1,0
201010428300,2,0
201010428301,1,0
201010428301,2,0
201010428305,1,0
201010428305,2,0
201010428305,3,0
201010428305,4,0
201010428308,1,2
201010428311,1,0
201010428311,2,0
201010428315,1,0
201010428315,2,0
201010428318,1,0
201010428318,2,0
201010428322,1,0
201010428325,1,0
201010428327,1,0
201010428327,2,0
201010428332,1,0
201010428335,1,9
201010428337,1,0
201010428339,1,0
201010428339,2,0
201010428370,1,8
201010428370,2,0
201010428372,1,0
201010428372,2,0
201010428373,1,2
201010428380,1,0
201010428380,2,0
201010428382,1,0
201010428383,1,0
201010428389,1,0
201010428389,2,0
201010428390,2,0
201010428392,1,0
201010428395,1,0
201010428396,1,0
201010428396,2,0
201010428401,1,0
201010428401,2,0
201010428402,1,0
201010428408,1,0
201010428408,2,0
201010428409,1,0
201010428411,1,0
201010428411,2,0
201010428416,1,9
201010428418,1,0
201010428422,1,0
201010428424,1,0
201010428459,1,2
201010428477,1,0
201010428477,2,0
201010428504,1,9
201010428509,1,0
201010428509,2,0
201010428513,1,0
201010428514,1,0
201010428515,1,0
201010428515,2,0
201010428516,1,9
201010428519,1,0
201010428523,1,9
201010428526,1,0
201010428527,1,0
201010428528,1,9
201010428529,1,0
201010428531,1,2
201010428534,1,0
201010428534,2,0
201010428536,1,0
201010428536,2,0
201010428536,3,0
201010428540,1,9
201010428544,1,0
201010428545,1,1
201010428548,1,0
201010428548,2,0
201010428564,1,0
201010428565,1,0
201010428567,1,2
201010428568,1,0
201010428568,2,0
201010428570,1,0
201010428573,1,0
201010428574,1,0
201010428574,2,9
201010428575,1,0
201010428576,1,0
201010428576,2,0
201010428577,1,0
201010428577,2,0
201010428579,1,0
201010428579,2,0
201010428581,1,0
201010428582,1,0
201010428583,1,0
201010428584,1,0
201010428584,2,0
201010428604,1,0
201010428604,2,0
201010428608,1,0
201010428608,2,0
201010428609,1,0
201010428609,2,0
201010428617,1,10
201010428617,2,0
201010428625,1,0
201010428625,2,0
201010428627,1,0
201010428627,2,0
201010428630,1,0
201010428638,1,0
201010428638,2,0
201010428641,1,0
201010428647,1,0
201010428649,1,0
201010428649,2,0
201010428649,3,0
201010428650,1,0
201010428652,1,0
201010428652,2,0
201010428657,1,0
201010428657,2,0
201010428660,1,0
201010428660,2,0
201010428663,1,0
201010428663,2,0
201010428667,1,0
201010428667,2,0
201010428668,1,0
201010428668,2,0
201010428673,1,0
201010428674,1,0
201010428679,1,0
201010428679,2,0
201010428679,3,0
201010428680,1,0
201010428680,2,0
201010428681,1,0
201010428681,2,0
201010428684,1,0
201010428687,1,0
201010428687,2,0
201010428690,1,0
201010428690,2,0
201010428694,1,0
201010428694,2,0
201010428697,1,0
201010428697,2,0
201010428703,1,2
201010428713,1,9
201010428714,1,0
201010428724,1,0
201010428724,2,0
201010428730,1,0
201010428732,1,0
201010428732,2,0
201010428736,1,0
201010428736,2,0
201010428738,1,0
201010428738,2,0
201010428744,1,0
201010428771,1,0
201010428775,1,0
201010428777,1,0
201010428781,1,0
201010428783,1,0
201010428785,1,0
201010428785,2,0
201010428788,1,0
201010428788,2,0
201010428796,1,0
201010428812,1,0
201010428815,1,0
201010428816,1,0
201010428822,1,0
201010428822,2,9
201010428823,1,0
201010428823,2,0
201010428831,1,0
201010428832,1,0
201010428832,2,0
201010428844,1,0
201010428844,2,0
201010428853,1,0
201010428860,1,0
201010428860,2,0
201010428863,1,0
201010428863,2,0
201010428867,1,0
201010428867,2,0
201010428871,1,0
201010428872,1,0
201010428873,1,0
201010428873,2,0
201010428874,1,0
201010428877,1,0
201010428877,2,0
201010428881,1,0
201010428882,1,0
201010428883,1,0
201010428883,2,0
201010428885,1,0
201010428885,2,0
201010428889,1,2
201010428891,1,0
201010428891,2,0
201010428894,1,2
201010428896,1,0
201010428904,1,0
201010428907,1,0
201010428908,1,0
201010428908,2,0
201010428912,0,0
201010428912,1,0
201010428915,1,0
201010428915,2,0
201010428926,1,0
201010428926,2,0
201010428933,1,0
201010428933,2,0
201010428933,3,0
201010428938,1,0
201010428942,1,0
201010428942,2,0
201010428943,1,0
201010428959,1,0
201010428959,2,0
201010428959,3,0
201010428962,0,0
201010428962,1,0
201010428963,1,0
201010428966,1,0
201010428969,1,0
201010428970,1,0
201010428971,1,0
201010428973,1,0
201010428973,2,0
201010428975,1,0
201010428978,1,0
201010428985,1,0
201010428986,1,0
201010429004,1,1
201010429007,1,0
201010429007,2,0
201010429011,1,0
201010429013,1,0
201010429013,2,0
201010429015,1,0
201010429015,2,0
201010429018,1,0
201010429018,2,0
201010429022,0,0
201010429022,1,0
201010429024,1,0
201010429024,2,0
201010429024,3,0
201010429027,1,0
201010429030,1,0
201010429030,2,0
201010429033,1,0
201010429033,2,0
201010429034,1,0
201010429034,2,0
201010429037,1,0
201010429037,2,0
201010429038,1,0
201010429038,2,0
201010429039,1,0
201010429046,1,9
201010429054,1,0
201010429054,2,0
201010429055,1,0
201010429066,1,0
201010429068,1,0
201010429068,2,0
201010429084,1,0
201010429084,2,0
201010429085,1,0
201010429086,1,0
201010429087,1,0
201010429088,1,0
201010429095,0,0
201010429095,1,0
201010429098,1,0
201010429101,1,0
201010429101,2,0
201010429105,1,0
201010429107,1,0
201010429124,1,0
201010429124,2,0
201010429125,1,0
201010429125,2,0
201010429126,1,0
201010429143,1,0
201010429143,2,0
201010429148,1,2
201010429151,1,2
201010429157,1,0
201010429158,1,0
201010429163,1,0
201010429167,1,0
201010429173,1,0
201010429173,2,0
201010429175,1,0
201010429176,1,0
201010429177,1,0
201010429177,2,0
201010429179,1,0
201010429181,1,0
201010429184,1,0
201010429187,1,0
201010429187,2,0
201010429189,1,0
201010429189,2,0
201010429226,1,0
201010429226,2,0
201010429238,1,2
201010429284,1,0
201010429821,1,0
201010429822,1,0
201010429825,1,0
201010429826,1,0
201010429827,1,0
201010429828,1,0
201010429829,1,2
201010429830,1,0
201010429832,1,0
201010700038,1,0
201010700038,2,0
201010700053,1,0
201010700053,2,0
201010700084,1,0
201010700085,1,0
201010700085,2,0
201010700187,1,0
201010700187,2,0
201010700195,1,0
201010700195,2,0
201010700201,1,0
201010700201,2,0
201010700221,1,0
201010700282,1,0
201010787232,1,0
201010787232,2,0
201010787273,1,0
201010787290,1,0
201010787290,2,0
201010787368,1,10
201010787373,1,0
201010787373,2,0
201010787440,0,0
201010787440,1,0
201010787452,1,0
201010787452,2,0
201010787453,1,0
201010787453,2,0
201010787498,1,0
201010787498,2,0
201010787523,1,0
201010787523,2,0
201010787610,0,0
201010787662,1,0
201010787662,2,0
201010787676,1,0
201010787676,2,0
201010787678,0,0
201010787678,1,0
201010787690,0,0
201010787797,1,0
201010787797,2,0
201010787883,1,0
201010787883,2,0
201010787885,1,0
201010787885,2,0
201010787887,1,0
201010787887,2,0
201010787915,1,0
201010787915,2,0
201010788012,1,0
201010788012,2,0
201010788012,3,0
201010788017,1,0
201010788039,1,0
201010788039,2,0
201010788066,1,0
201010788079,1,0
201010788110,1,0
201010788110,2,0
201010788136,1,0
201010788136,2,0
201010788146,0,0
201010788157,1,0
201010788157,2,0
201010788178,0,0
201010788178,1,0
201010788202,0,0
201010788253,0,0
201010788377,1,0
201010788391,1,0
201010788391,2,0
201010788396,1,0
201010788396,2,0
201010788444,1,0
201010788491,1,0
201010788491,2,0
201010788496,1,0
201010788496,2,0
201010788529,1,0
201010788530,1,0
201010788530,2,9
201010788538,0,0
201010788538,1,0
201010788572,1,0
201010788572,2,0
201010788590,1,0
201010788590,2,0
201010788590,3,0
201010788590,4,0
201010788590,5,0
201010788590,6,0
201010788667,1,0
201010788667,2,0
201010788701,1,0
201010788701,2,0
201010788828,1,0
201010788828,2,0
201010788864,0,0
201010788864,1,0
201010788874,1,0
201010788874,2,0
201010788937,1,0
201010788937,2,0
201010788967,1,0
201010788967,2,0
201010788972,0,0
201010788978,1,0
201010788978,2,0
201010789041,0,0
201010789041,1,0
201010789047,0,0
201010789047,1,0
201010789104,2,0
201010789118,1,0
201010789118,2,0
201010789120,1,0
201010789120,2,0
201010789132,0,0
201010789132,1,0
201010789141,1,0
201010789155,0,0
201010789155,1,0
201010789193,1,0
201010789193,2,0
201010789243,1,0
201010789243,2,0
201010789252,1,0
201010789252,3,0
201010789297,1,0
201010789297,2,0
201010789369,1,0
201010789369,2,0
201010789423,1,0
201010789423,2,0
201010789466,1,0
201010789501,1,0
201010789501,2,0
201010789502,0,0
201010789502,1,0
201010789505,0,0
201010789505,1,0
201010789519,1,0
201010789522,1,0
201010789533,0,0
201010789533,1,0
201010789600,1,0
201010789600,2,0
201010789600,3,0
201010789606,0,0
201010789627,0,0
201010789661,1,0
201010789661,2,0
201010789670,0,0
201010789670,1,0
201010789692,2,0
201010789708,0,0
201010789758,1,0
201010789758,2,0
201010789823,1,0
201010789881,1,0
201010789916,1,0
201010789916,2,0
201010789922,1,0
201010789938,1,0
201010789938,2,0
201010789956,1,0
201010789959,1,0
201010789959,2,0
201010789972,0,0
201010789972,1,0
201010789993,1,0
201010789993,2,0
201010789993,3,0
201010790034,1,0
201010790044,1,0
201010790049,1,0
201010790049,2,0
201010790058,1,0
201010790058,2,9
201010790076,1,0
201010790080,1,0
201010790080,2,0
201010790080,3,0
201010790138,1,0
201010790138,2,0
201010790138,3,0
201010790143,0,0
201010790143,1,0
201010790153,1,0
201010790153,2,0
201010790189,1,0
201010790231,1,0
201010790257,0,0
201010790257,1,0
201010790297,1,0
201010790297,2,0
201010790390,1,0
201010790422,1,0
201010790422,2,0
201010790447,1,0
201010790447,2,0
201010790511,1,0
201010790511,2,0
201010790516,1,0
201010790516,2,0
201010790536,1,0
201010790536,2,0
201010790577,1,0
201010790577,2,0
201010790578,0,0
201010790578,1,0
201010790618,1,0
201010790618,2,0
